"country","sameAsCountry","life_expectancy"
"http://worldbank.org/Country/URY","http://www.wikidata.org/entity/Q77","77.493"
"http://worldbank.org/Country/KGZ","http://www.wikidata.org/entity/Q813","70.95122"
"http://worldbank.org/Country/KNA","http://www.wikidata.org/entity/Q763","71.33659"
"http://worldbank.org/Country/LAO","http://www.wikidata.org/entity/Q819","66"
"http://worldbank.org/Country/KIR","http://www.wikidata.org/entity/Q710","68.46"
"http://worldbank.org/Country/KIR","http://www.wikidata.org/entity/Q710","66.317"
"http://worldbank.org/Country/KHM","http://www.wikidata.org/entity/Q424","68.981"
"http://worldbank.org/Country/KWT","http://www.wikidata.org/entity/Q817","74.694"
"http://worldbank.org/Country/LTU","http://www.wikidata.org/entity/Q37","74.32195"
"http://worldbank.org/Country/LVA","http://www.wikidata.org/entity/Q211","74.52927"
"http://worldbank.org/Country/MAR","http://www.wikidata.org/entity/Q1028","75.821"
"http://worldbank.org/Country/LUX","http://www.wikidata.org/entity/Q32","82.29268"
